codigo_tce;nome_municipio;fonte_url
156;Quixabá;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/156/despesas/despesas-2026.zip
157;Remígio;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/157/despesas/despesas-2026.zip
158;Riachão;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/158/despesas/despesas-2026.zip
159;Riachão do Bacamarte;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/159/despesas/despesas-2026.zip
160;Riachão do Poço;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/160/despesas/despesas-2026.zip
161;Riacho de Santo Antônio;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/161/despesas/despesas-2026.zip
162;Riacho dos Cavalos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/162/despesas/despesas-2026.zip
163;Rio Tinto;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/163/despesas/despesas-2026.zip
164;Salgadinho;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/164/despesas/despesas-2026.zip
165;Salgado de São Félix;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/165/despesas/despesas-2026.zip
166;Santa Cecília;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/166/despesas/despesas-2026.zip
167;Santa Cruz;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/167/despesas/despesas-2026.zip
168;Santa Helena;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/168/despesas/despesas-2026.zip
169;Santa Inês;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/169/despesas/despesas-2026.zip
170;Santa Luzia;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/170/despesas/despesas-2026.zip
171;Santa Rita;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/171/despesas/despesas-2026.zip
172;Santa Teresinha;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/172/despesas/despesas-2026.zip
173;Santana de Mangueira;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/173/despesas/despesas-2026.zip
174;Santana dos Garrotes;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/174/despesas/despesas-2026.zip
175;Joca Claudino;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/175/despesas/despesas-2026.zip
176;Santo André;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/176/despesas/despesas-2026.zip
177;São Bentinho;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/177/despesas/despesas-2026.zip
178;São Bento;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/178/despesas/despesas-2026.zip
179;São Domingos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/179/despesas/despesas-2026.zip
180;São Domingos do Cariri;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/180/despesas/despesas-2026.zip
181;São Francisco;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/181/despesas/despesas-2026.zip
182;São João do Cariri;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/182/despesas/despesas-2026.zip
183;São João do Rio do Peixe;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/183/despesas/despesas-2026.zip
184;São João do Tigre;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/184/despesas/despesas-2026.zip
185;São José da Lagoa Tapada;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/185/despesas/despesas-2026.zip
186;São José de Caiana;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/186/despesas/despesas-2026.zip
187;São José de Espinharas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/187/despesas/despesas-2026.zip
188;São José de Piranhas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/188/despesas/despesas-2026.zip
189;São José de Princesa;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/189/despesas/despesas-2026.zip
190;São José do Bonfim;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/190/despesas/despesas-2026.zip
191;São José do Brejo do Cruz;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/191/despesas/despesas-2026.zip
192;São José do Sabugi;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/192/despesas/despesas-2026.zip
193;São José dos Cordeiros;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/193/despesas/despesas-2026.zip
194;São José dos Ramos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/194/despesas/despesas-2026.zip
195;São Mamede;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/195/despesas/despesas-2026.zip
196;São Miguel de Taipu;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/196/despesas/despesas-2026.zip
197;São Sebastião de Lagoa de Roça;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/197/despesas/despesas-2026.zip
198;São Sebastião do Umbuzeiro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/198/despesas/despesas-2026.zip
199;São Vicente do Seridó;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/199/despesas/despesas-2026.zip
200;Sapé;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/200/despesas/despesas-2026.zip
201;Serra Branca;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/201/despesas/despesas-2026.zip
202;Serra da Raiz;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/202/despesas/despesas-2026.zip
203;Serra Grande;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/203/despesas/despesas-2026.zip
204;Serra Redonda;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/204/despesas/despesas-2026.zip
205;Serraria;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/205/despesas/despesas-2026.zip
206;Sertãozinho;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/206/despesas/despesas-2026.zip
207;Sobrado;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/207/despesas/despesas-2026.zip
208;Solânea;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/208/despesas/despesas-2026.zip
209;Soledade;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/209/despesas/despesas-2026.zip
210;Sossêgo;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/210/despesas/despesas-2026.zip
211;Sousa;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/211/despesas/despesas-2026.zip
212;Sumé;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/212/despesas/despesas-2026.zip
213;Taperoá;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/213/despesas/despesas-2026.zip
214;Tavares;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/214/despesas/despesas-2026.zip
215;Teixeira;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/215/despesas/despesas-2026.zip
216;Tenório;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/216/despesas/despesas-2026.zip
217;Triunfo;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/217/despesas/despesas-2026.zip
218;Uiraúna;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/218/despesas/despesas-2026.zip
219;Umbuzeiro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/219/despesas/despesas-2026.zip
220;Várzea;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/220/despesas/despesas-2026.zip
221;Vieirópolis;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/221/despesas/despesas-2026.zip
222;Vista Serrana;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/222/despesas/despesas-2026.zip
223;Zabelê;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/223/despesas/despesas-2026.zip
